index,axis-0,axis-1,axis-2,axis-3,label
0,0.0,0.0,216.10456716363717,1309.5716971395473,state1
1,0.0,0.0,231.92736890402546,1626.027731947314,state1
2,0.0,0.0,384.88111906111266,1942.4837667550805,state1
3,0.0,0.0,405.9781880482971,2040.0577108208086,state1
4,0.0,0.0,469.26939500985037,2100.711784158964,state1
5,0.0,0.0,561.5690718287824,2182.4629264843034,state1
6,0.0,0.0,830.5567014153839,2293.2225386670216,state1
7,0.0,0.0,957.1391153384906,2322.2310085244003,state1
8,0.0,0.0,1194.4811414443154,2345.965211134983,state2
9,0.0,0.0,1281.5065510164513,2295.85967229042,state1
10,0.0,0.0,1384.3547623289753,2253.665534316051,state1
11,0.0,0.0,1442.3717020437325,2251.0284006926527,state1
12,0.0,0.0,1495.1143745116935,2219.382797211876,state1
13,0.0,0.0,1561.042715096645,2153.454456626925,state1
14,0.0,0.0,1613.7853875646063,2116.5345858993524,state1
15,0.0,0.0,1814.2075429428583,1910.838163274304,state1
16,0.0,0.0,1856.4016809172272,1842.2726890659546,state1
17,0.0,0.0,1874.8616162810135,1757.8844131172168,state1
18,0.0,0.0,1972.4355603467418,1444.065511932848,state1
19,0.0,0.0,1990.8954957105282,1399.2342403350813,state1
20,0.0,0.0,1990.8954957105282,1370.2257704777026,state1
21,0.0,0.0,1990.8954957105282,1328.0316325033336,state1
22,0.0,0.0,1982.9840948403337,1267.3775591651788,state1
23,0.0,0.0,1898.595818891596,1008.9384640721693,state1
24,0.0,0.0,1835.3046119300427,879.7189165256647,state1
25,0.0,0.0,1619.0596548114024,650.288291290034,state1
26,0.0,0.0,1049.4387921574225,528.9801446137234,state1
27,0.0,0.0,904.3964428705295,526.3430109903253,state1
28,0.0,0.0,825.2824341685879,555.351480847704,state1
29,0.0,0.0,703.9742874922774,594.9084851986748,state1
30,0.0,0.0,622.2231451669377,652.925424913432,state1
31,0.0,0.0,477.1807958800446,795.3306405769271,state1
32,0.0,0.0,379.60685181431654,882.3560501490628,state1
33,0.0,0.0,340.0498474633457,945.6472571106161,state1
34,0.0,0.0,247.7501706444138,1069.5925374103244,state1
35,0.0,1.0,158.08762744887997,1338.580166996926,state1
36,0.0,1.0,165.9990283190741,1433.5169774392562,state1
37,0.0,1.0,171.27329556587023,1496.8081844008093,state1
38,0.0,1.0,284.6700413719866,1858.0954908063427,state2
39,0.0,1.0,355.87264920373406,1953.0323012486729,state1
40,0.0,1.0,537.8348692181999,2129.7202540163426,state2
41,0.0,1.0,635.4088132839279,2171.9143919907115,state1
42,0.0,1.0,838.4681022855782,2224.6570644586723,state1
43,0.0,1.0,946.5905808448985,2253.665534316051,state1
44,0.0,1.0,1368.531960588587,2245.754133445857,state1
45,0.0,1.0,1408.0889649395579,2203.559995471488,state1
46,0.0,1.0,1452.9202365373249,2193.0114609778957,state1
47,0.0,1.0,1632.2453229283926,2119.17171952275,state1
48,0.0,1.0,1700.810797136742,2063.791913431391,state1
49,0.0,1.0,1782.5619394620817,2000.500706469838,state1
50,0.0,1.0,1877.4987499044116,1884.4668270403236,state1
51,0.0,1.0,1922.3300215021786,1831.7241545723623,state1
52,0.0,1.0,2006.7182974509162,1491.5339171540131,state1
53,0.0,1.0,2006.7182974509162,1391.3228394648872,state1
54,0.0,1.0,1990.8954957105282,1275.2889600353728,state1
55,0.0,1.0,1961.8870258531495,1209.3606194504214,state1
56,0.0,1.0,1851.1274136704312,906.0902527596453,state1
57,0.0,1.0,1674.4394609027615,634.4654895496457,state1
58,0.0,1.0,1539.9456461094608,513.1573428733351,state1
59,0.0,1.0,1508.300042628684,507.8830756265389,state1
60,0.0,1.0,1046.8016585340245,410.3091315608109,state1
61,0.0,1.0,1009.8817878064518,410.3091315608109,state1
62,0.0,1.0,883.2993738833451,420.85766605440324,state1
63,0.0,1.0,524.6492011012097,637.1026231730438,state1
64,0.0,1.0,466.6322613864524,674.0224939006165,state1
65,0.0,1.0,363.78405007392826,800.604907823723,state1
66,0.0,1.0,332.13844659315157,834.8876449278977,state1
67,0.0,1.0,305.767110359171,869.1703820320726,state1
68,0.0,1.0,260.9358387614041,903.4531191362472,state1
69,0.0,1.0,229.29023528062743,990.4785287083829,state1
70,0.0,1.0,171.27329556587023,1127.6094771250819,state1
71,0.0,2.0,216.10456716363717,1248.9176238013924,state1
72,0.0,2.0,200.28176542324883,1304.2974298927516,state1
73,0.0,2.0,200.28176542324883,1370.2257704777026,state1
74,0.0,2.0,274.12150687839437,1776.3443484810032,state1
75,0.0,2.0,424.4381234120835,1989.9521719762456,state1
76,0.0,2.0,474.54366225664654,2042.6948444442064,state1
77,0.0,2.0,537.8348692181999,2076.9775815483813,state1
78,0.0,2.0,569.4804726989765,2105.98605140576,state1
79,0.0,2.0,672.3286840115007,2161.365857497119,state1
80,0.0,2.0,727.7084901028599,2187.7371937310995,state1
81,0.0,2.0,1036.253124040432,2229.9313317054684,state1
82,0.0,2.0,1255.1352147824707,2224.6570644586723,state1
83,0.0,2.0,1294.6922191334415,2222.0199308352744,state1
84,0.0,2.0,1331.6120898610143,2214.10852996508,state1
85,0.0,2.0,1410.726098562956,2187.7371937310995,state1
86,0.0,2.0,1518.8485771222763,2140.2687885099344,state1
87,0.0,2.0,1608.51112031781,2079.614715171779,state1
88,0.0,2.0,1924.9671551255767,1641.8505336877024,state2
89,0.0,2.0,1919.6928878787805,1552.1879904921684,state1
90,0.0,2.0,1932.8785559957707,1536.3651887517804,state1
91,0.0,2.0,1932.8785559957707,1486.259649907217,state1
92,0.0,2.0,1935.5156896191688,1248.9176238013924,state1
93,0.0,2.0,1935.5156896191688,1164.5293478526546,state1
94,0.0,2.0,1880.1358835278097,987.841395084985,state1
